account_id,industry,employees,annual_revenue_m,account_tier,existing_customer,tech_stack_maturity,website_visits_30d,pricing_page_visits_30d,content_downloads_30d,competitor_page_visits_30d,decision_maker_engaged,num_stakeholders_engaged,days_since_last_visit,fit_score,intent_score,opportunity_created
ACC1257,Manufacturing,177,37.6,Mid-Market,0,4.4,3,2,0,0,0,2,2,27.1,21.2,0
ACC1258,Healthcare,153,18.0,Mid-Market,0,4.9,6,4,0,1,0,2,3,28.6,41.8,1
ACC1259,Technology,105,11.3,Mid-Market,0,6.0,13,3,3,0,0,0,12,53.8,43.6,0
ACC1260,Healthcare,643,95.9,Mid-Market,0,6.9,17,2,1,2,0,1,12,39.5,48.5,0
ACC1261,Education,193,45.8,Mid-Market,0,5.4,13,2,0,1,0,0,0,30.6,35.6,0
ACC1262,Technology,105,21.1,Mid-Market,1,5.5,5,1,3,3,0,0,8,41.2,36.4,1
ACC1263,Healthcare,1363,206.1,Enterprise,1,5.8,7,2,2,0,0,3,32,31.2,26.0,0
ACC1264,Retail,1549,260.1,Enterprise,0,4.5,6,3,2,0,0,2,9,39.6,36.5,0
ACC1265,Manufacturing,112,10.6,Mid-Market,1,3.6,7,3,1,0,0,2,32,12.9,25.1,0
ACC1266,Manufacturing,21,5.2,SMB,0,2.0,4,2,2,3,0,2,4,17.8,44.3,1
ACC1267,Manufacturing,906,175.1,Mid-Market,0,4.1,5,2,4,1,0,0,6,32.6,37.2,0
ACC1268,Financial Services,100,12.9,Mid-Market,1,6.4,13,1,0,1,0,1,6,44.1,30.3,0
ACC1269,Technology,683,122.7,Mid-Market,0,4.1,1,1,2,1,0,2,25,52.7,16.1,0
ACC1270,Retail,18,1.8,SMB,0,5.0,7,4,0,0,0,1,4,27.7,35.0,0
ACC1271,Retail,780,190.5,Mid-Market,0,6.4,11,2,2,3,0,1,40,39.1,37.6,0
ACC1272,Retail,50,5.5,SMB,0,6.5,7,3,3,0,1,3,7,33.0,60.2,0
ACC1273,Retail,632,120.2,Mid-Market,0,3.3,3,3,0,0,0,3,2,27.5,30.0,0
ACC1274,Healthcare,249,30.3,Mid-Market,0,7.5,10,2,2,1,0,1,1,38.0,41.6,0
ACC1275,Healthcare,70,14.1,SMB,0,7.8,5,2,1,2,0,4,1,37.4,44.0,1
ACC1276,Manufacturing,144,30.5,Mid-Market,0,3.2,5,2,2,2,1,2,0,22.9,57.1,1
ACC1277,Healthcare,597,116.1,Mid-Market,0,3.9,4,2,1,0,1,3,11,29.2,40.6,0
ACC1278,Manufacturing,280,51.7,Mid-Market,0,7.9,16,1,2,0,0,4,7,39.6,46.0,0
ACC1279,Manufacturing,523,121.2,Mid-Market,0,5.2,8,4,0,1,0,3,13,32.8,43.7,0
ACC1280,Retail,3195,298.3,Enterprise,0,1.1,4,2,1,1,0,4,15,42.8,32.2,0
ACC1281,Financial Services,32,4.4,SMB,0,2.7,8,1,2,3,0,2,26,42.3,35.7,0
ACC1282,Financial Services,2002,244.7,Enterprise,0,5.0,1,1,2,2,0,2,1,67.3,30.3,0
ACC1283,Technology,280,69.4,Mid-Market,1,3.2,3,0,1,1,0,1,2,35.1,15.3,0
ACC1284,Healthcare,76,11.1,SMB,0,4.7,6,2,2,0,0,5,7,27.2,40.2,0
ACC1285,Technology,43,8.8,SMB,0,5.6,8,3,0,0,1,1,1,52.0,46.4,0
ACC1286,Financial Services,191,37.5,Mid-Market,0,8.4,8,4,2,0,0,2,0,62.5,48.8,0
ACC1287,Healthcare,810,94.0,Mid-Market,0,4.9,7,3,1,1,0,4,10,34.4,44.4,0
ACC1288,Technology,207,25.0,Mid-Market,1,7.6,9,0,2,1,0,1,12,49.0,24.1,0
ACC1289,Healthcare,1744,222.9,Enterprise,0,8.4,9,2,1,1,0,1,18,54.2,29.6,0
ACC1290,Technology,37,5.5,SMB,0,8.4,8,3,3,1,0,1,24,61.2,39.4,0
ACC1291,Technology,240,28.8,Mid-Market,0,6.1,14,1,1,2,1,3,5,55.4,61.5,0
ACC1292,Retail,48,4.0,SMB,0,1.6,4,1,1,0,1,2,39,16.7,20.9,0
ACC1293,Financial Services,392,90.0,Mid-Market,0,6.4,8,2,0,1,0,0,0,57.7,28.3,0
ACC1294,Technology,775,189.2,Mid-Market,0,7.6,10,3,1,0,0,1,20,65.0,31.2,0
ACC1295,Healthcare,141,19.5,Mid-Market,0,5.3,6,3,1,0,0,0,3,29.8,29.1,0
ACC1296,Manufacturing,8,1.1,SMB,0,9.0,16,2,5,1,1,3,25,40.9,73.2,1
ACC1297,Technology,316,25.7,Mid-Market,1,7.2,7,2,1,1,0,3,2,48.7,38.7,1
ACC1298,Healthcare,431,84.3,Mid-Market,0,6.6,9,2,0,2,0,1,13,36.7,32.5,1
ACC1299,Technology,413,91.0,Mid-Market,0,7.7,13,2,1,0,0,1,5,62.2,35.6,0
ACC1300,Technology,1219,127.9,Enterprise,1,6.2,5,1,0,0,0,3,4,53.3,20.4,1
ACC1301,Healthcare,60,6.4,SMB,0,1.0,2,3,5,3,0,5,0,14.9,69.3,0
ACC1302,Healthcare,592,126.9,Mid-Market,0,4.5,6,2,3,2,0,1,12,31.1,40.2,1
ACC1303,Healthcare,1153,213.0,Enterprise,0,7.9,10,1,6,1,0,1,1,47.3,51.3,0
ACC1304,Manufacturing,24,2.1,SMB,0,3.9,4,2,1,1,0,3,6,24.1,32.8,0
ACC1305,Education,370,68.8,Mid-Market,0,5.1,4,3,1,0,0,4,1,31.2,38.6,1
ACC1306,Healthcare,127,16.8,Mid-Market,0,3.4,4,3,2,2,0,2,9,23.4,43.3,0
ACC1307,Financial Services,220,31.4,Mid-Market,1,9.1,13,0,1,0,1,3,2,54.1,45.6,1
ACC1308,Manufacturing,384,81.0,Mid-Market,1,8.9,10,1,2,0,0,1,9,32.8,27.7,0
ACC1309,Technology,129,28.1,Mid-Market,0,3.7,5,4,3,1,0,2,29,46.5,41.9,0
ACC1310,Financial Services,101,15.0,Mid-Market,0,5.8,4,3,0,2,0,3,25,53.2,32.2,1
ACC1311,Technology,255,61.5,Mid-Market,0,4.1,5,1,1,0,1,5,2,48.9,45.6,1
ACC1312,Technology,59,8.8,SMB,0,6.7,11,3,1,0,0,3,1,55.8,46.0,0
ACC1313,Education,59,12.5,SMB,0,6.5,8,3,2,0,0,3,0,33.0,45.9,0
ACC1314,Retail,591,95.9,Mid-Market,0,7.1,12,2,0,0,0,3,17,39.7,31.4,1
ACC1315,Manufacturing,54,12.6,SMB,0,6.2,13,2,1,1,0,0,2,32.0,38.7,0
ACC1316,Financial Services,581,136.1,Mid-Market,1,10.0,13,2,1,0,0,2,3,60.3,39.3,0
ACC1317,Technology,446,42.3,Mid-Market,0,3.4,12,3,1,2,1,4,2,48.3,74.3,1
ACC1318,Technology,25,6.0,SMB,0,2.1,4,1,3,2,0,0,18,40.2,26.1,1
ACC1319,Technology,101,22.3,Mid-Market,1,4.7,2,1,1,1,1,1,38,38.5,20.3,1
ACC1320,Healthcare,1155,247.8,Enterprise,0,2.4,4,5,2,1,0,1,14,29.2,45.3,0
ACC1321,Manufacturing,68,7.8,SMB,0,2.5,3,2,0,1,0,0,17,19.9,14.3,0
ACC1322,Manufacturing,133,28.8,Mid-Market,0,3.5,11,1,0,0,1,3,9,23.8,41.9,1
ACC1323,Technology,446,100.1,Mid-Market,0,3.7,8,2,0,0,0,4,7,49.2,32.4,1
ACC1324,Education,677,87.4,Mid-Market,1,3.6,8,1,3,2,1,4,12,17.9,60.7,1
ACC1325,Manufacturing,176,42.6,Mid-Market,0,6.5,7,1,1,0,1,3,0,34.1,43.4,0
ACC1326,Healthcare,112,9.9,Mid-Market,0,4.5,11,2,1,0,0,2,0,26.9,37.6,0
ACC1327,Healthcare,1554,163.9,Enterprise,0,5.1,3,3,1,3,0,0,11,41.6,36.2,0
ACC1328,Financial Services,2346,402.1,Enterprise,0,7.3,5,1,1,0,0,2,4,77.9,21.4,1
ACC1329,Technology,873,155.3,Mid-Market,0,4.0,2,1,0,2,0,1,6,54.0,19.1,0
ACC1330,Financial Services,273,51.8,Mid-Market,0,5.0,6,4,1,1,0,0,15,52.0,35.1,0
ACC1331,Manufacturing,85,7.0,SMB,0,6.2,9,1,1,2,0,1,8,32.3,32.5,0
ACC1332,Technology,83,20.2,SMB,0,1.6,14,1,1,2,1,2,16,39.1,54.2,0
ACC1333,Technology,482,42.2,Mid-Market,0,1.0,5,3,2,0,1,2,5,40.6,51.2,0
ACC1334,Technology,421,43.9,Mid-Market,0,6.2,10,4,1,1,0,2,3,57.3,51.5,0
ACC1335,Technology,1513,124.6,Enterprise,0,6.5,14,2,1,0,0,2,2,67.9,41.2,0
ACC1336,Retail,569,100.4,Mid-Market,1,9.6,12,0,4,0,0,2,1,36.8,38.6,0
ACC1337,Manufacturing,34,8.1,SMB,1,5.8,7,0,2,0,0,1,0,19.5,21.0,0
ACC1338,Financial Services,960,185.5,Mid-Market,0,7.1,11,1,0,1,1,3,0,65.0,50.2,1
ACC1339,Technology,66,14.5,SMB,1,5.1,10,1,0,0,0,3,3,39.5,28.1,0
ACC1340,Financial Services,148,12.2,Mid-Market,0,6.1,7,3,1,0,1,2,3,54.6,51.0,1
ACC1341,Financial Services,338,58.2,Mid-Market,0,8.8,12,2,2,0,0,1,4,65.2,38.4,1
ACC1342,Technology,3275,517.9,Enterprise,0,1.3,8,3,2,0,0,2,8,66.3,39.8,0
ACC1343,Financial Services,13945,2298.5,Enterprise,0,6.3,8,1,1,2,0,0,14,98.0,25.8,1
ACC1344,Financial Services,538,49.6,Mid-Market,0,9.8,9,2,0,3,0,0,2,70.2,38.7,0
ACC1345,Healthcare,192,37.7,Mid-Market,0,6.1,15,4,3,0,0,0,14,32.9,51.6,0
ACC1346,Healthcare,490,81.1,Mid-Market,1,8.8,13,1,1,2,0,0,1,33.4,38.1,0
ACC1347,Technology,775,162.8,Mid-Market,1,4.2,9,4,2,1,0,1,44,42.8,35.0,0
ACC1348,Financial Services,161,26.2,Mid-Market,0,5.4,4,2,1,1,0,1,3,52.4,28.1,0
ACC1349,Healthcare,2524,266.0,Enterprise,0,5.6,4,3,0,0,0,1,18,51.8,19.3,0
ACC1350,Healthcare,329,62.6,Mid-Market,0,1.1,8,3,2,0,0,1,2,17.6,39.2,1
ACC1351,Retail,467,51.0,Mid-Market,0,3.2,6,2,0,1,1,1,30,25.7,31.2,0
ACC1352,Manufacturing,581,132.6,Mid-Market,0,3.3,4,4,1,0,1,4,17,27.1,52.9,0
ACC1353,Technology,423,77.9,Mid-Market,0,7.1,4,1,0,2,0,1,4,60.3,22.8,0
ACC1354,Technology,728,77.7,Mid-Market,0,7.2,11,3,1,0,0,0,5,63.3,35.6,0
ACC1355,Healthcare,109,26.6,Mid-Market,0,6.1,14,1,1,1,0,1,0,32.2,38.0,0
ACC1356,Technology,118,19.8,Mid-Market,0,7.1,8,2,3,1,0,4,2,57.6,50.9,0
ACC1357,Healthcare,58,5.4,SMB,0,5.2,5,3,0,1,0,1,3,28.7,31.5,0
ACC1358,Education,433,80.8,Mid-Market,0,7.9,4,2,2,1,0,3,6,41.0,36.7,0
ACC1359,Healthcare,673,82.8,Mid-Market,0,5.5,8,2,0,0,0,0,1,35.2,23.0,0
ACC1360,Financial Services,443,96.0,Mid-Market,1,5.6,6,3,1,0,0,2,6,44.5,33.8,0
ACC1361,Healthcare,2157,472.4,Enterprise,0,5.0,5,1,2,0,0,2,11,46.6,22.5,1
ACC1362,Financial Services,242,59.6,Mid-Market,1,6.9,15,3,3,3,0,2,4,47.0,70.1,1
ACC1363,Healthcare,583,96.4,Mid-Market,1,4.7,2,2,0,0,1,2,2,20.7,34.3,0
ACC1364,Education,59,9.3,SMB,0,7.5,20,2,1,0,0,4,7,36.4,53.9,1
ACC1365,Financial Services,147,30.6,Mid-Market,0,3.2,1,2,2,0,0,0,0,45.0,21.0,0
ACC1366,Education,604,61.9,Mid-Market,1,3.3,6,1,1,1,0,1,4,16.2,24.8,0
ACC1367,Retail,737,127.5,Mid-Market,1,6.9,11,0,2,3,0,4,7,29.3,47.5,0
ACC1368,Technology,166,28.7,Mid-Market,0,5.3,7,2,2,1,0,0,4,52.1,33.1,0
ACC1369,Technology,222,21.1,Mid-Market,0,4.6,3,2,2,2,0,4,4,50.2,43.8,1
ACC1370,Technology,34,5.1,SMB,0,7.3,11,8,4,0,0,2,18,57.5,77.4,0
ACC1371,Technology,153,34.4,Mid-Market,0,4.3,5,4,1,0,0,1,27,48.6,27.0,0
ACC1372,Technology,778,175.5,Mid-Market,0,5.1,5,2,2,1,0,1,17,56.8,28.0,1
ACC1373,Manufacturing,516,50.0,Mid-Market,1,8.3,8,2,1,1,0,1,1,32.0,34.7,1
ACC1374,Technology,469,44.8,Mid-Market,0,8.6,8,2,2,1,1,5,3,65.7,64.2,1
ACC1375,Financial Services,261,32.5,Mid-Market,0,8.6,11,1,1,0,1,3,12,63.8,44.6,0
ACC1376,Retail,246,56.3,Mid-Market,0,4.9,9,1,1,2,1,4,36,29.4,45.0,0
ACC1377,Technology,103,10.5,Mid-Market,0,8.0,12,1,1,1,0,0,2,60.4,31.4,1
ACC1378,Retail,606,122.7,Mid-Market,0,3.6,7,1,2,1,0,3,22,28.3,29.0,0
ACC1379,Technology,422,41.0,Mid-Market,1,3.7,9,2,3,0,0,2,13,38.0,37.4,0
ACC1380,Technology,463,86.1,Mid-Market,0,1.0,5,3,2,0,0,2,41,40.5,22.5,0
ACC1381,Manufacturing,123,17.3,Mid-Market,0,8.8,11,2,2,0,1,3,0,41.2,59.0,1
ACC1382,Healthcare,14,3.0,SMB,0,3.8,7,2,3,0,0,2,5,23.7,37.6,0
ACC1383,Retail,1018,121.9,Enterprise,0,5.2,4,2,0,1,0,1,6,37.2,23.0,0
ACC1384,Manufacturing,131,24.7,Mid-Market,0,3.7,6,2,4,0,0,1,11,24.4,34.7,0
ACC1385,Retail,79,9.5,SMB,0,6.9,11,2,2,0,1,2,10,34.5,52.2,1
ACC1386,Technology,602,121.2,Mid-Market,0,4.7,5,2,6,2,0,3,23,53.9,52.0,0
ACC1387,Technology,146,33.4,Mid-Market,0,2.9,6,1,2,1,1,5,18,44.0,49.6,0
ACC1388,Manufacturing,970,98.5,Mid-Market,0,6.4,9,2,0,2,0,0,0,40.7,34.6,0
ACC1389,Retail,545,123.9,Mid-Market,0,2.6,5,3,1,1,1,1,6,24.4,48.9,0
ACC1390,Education,595,107.6,Mid-Market,1,3.8,7,0,0,0,0,5,5,17.8,22.9,0
ACC1391,Financial Services,41,4.2,SMB,0,1.3,9,3,0,1,0,2,58,37.7,18.8,0
ACC1392,Financial Services,1182,180.5,Enterprise,0,2.7,7,3,1,3,0,2,5,52.4,50.2,0
ACC1393,Manufacturing,343,36.8,Mid-Market,0,5.9,6,2,2,1,0,1,11,33.6,31.8,0
ACC1394,Financial Services,151,30.1,Mid-Market,0,1.6,6,1,0,0,0,1,3,39.7,16.4,0
ACC1395,Education,294,61.4,Mid-Market,0,2.5,7,2,1,2,0,3,9,21.9,40.9,0
ACC1396,Retail,24,2.4,SMB,0,5.5,3,2,1,4,1,3,2,29.4,62.1,0
ACC1397,Financial Services,416,69.1,Mid-Market,0,4.4,7,2,1,0,1,2,9,51.3,42.8,0
ACC1398,Manufacturing,64,14.0,SMB,0,9.5,18,2,0,2,0,2,20,43.0,45.9,0
ACC1399,Manufacturing,42,10.0,SMB,1,9.2,9,0,1,0,0,3,0,30.8,25.9,0
ACC1400,Technology,33,5.5,SMB,0,3.8,8,2,0,0,0,1,7,45.9,23.6,0
ACC1401,Retail,1039,251.0,Enterprise,0,6.6,8,2,1,0,0,3,40,42.0,20.5,0
ACC1402,Healthcare,107,18.3,Mid-Market,0,7.0,8,3,0,1,0,1,1,35.1,36.7,0
ACC1403,Retail,1796,264.0,Enterprise,1,4.3,9,1,2,3,0,2,2,30.1,46.5,0
ACC1404,Financial Services,121,27.1,Mid-Market,1,2.5,3,0,1,2,0,2,6,31.4,21.6,0
ACC1405,Retail,26,4.3,SMB,0,5.5,4,2,3,0,0,2,20,29.4,27.3,0
ACC1406,Financial Services,57,9.1,SMB,0,5.2,11,1,1,2,0,0,8,50.8,32.5,0
ACC1407,Technology,1219,199.1,Enterprise,0,4.6,6,1,1,2,0,1,7,59.0,28.5,0
ACC1408,Retail,199,44.6,Mid-Market,0,6.4,12,3,1,0,0,2,0,33.9,44.9,0
ACC1409,Technology,119,26.4,Mid-Market,0,4.0,2,2,3,0,0,3,32,47.4,22.6,0
ACC1410,Financial Services,301,44.7,Mid-Market,0,3.2,5,2,2,0,0,1,4,46.3,28.2,0
ACC1411,Education,469,64.1,Mid-Market,0,5.7,3,2,1,0,1,4,2,34.0,45.6,0
ACC1412,Education,1045,171.0,Enterprise,1,6.3,10,1,1,0,0,2,5,30.1,28.3,0
ACC1413,Healthcare,1608,285.2,Enterprise,1,3.1,7,0,1,1,0,0,5,24.4,17.1,0
ACC1414,Healthcare,153,18.4,Mid-Market,0,7.4,10,5,0,2,0,0,6,36.9,51.3,1
ACC1415,Financial Services,43,9.2,SMB,0,2.0,7,2,3,1,0,1,11,40.1,37.2,0
ACC1416,Technology,142,23.1,Mid-Market,1,4.3,7,3,1,1,0,0,20,37.5,28.8,0
ACC1417,Financial Services,343,46.9,Mid-Market,0,5.0,7,1,2,2,0,0,0,52.6,33.7,0
ACC1418,Manufacturing,69,6.8,SMB,0,4.2,8,2,2,3,0,2,6,25.5,49.4,0
ACC1419,Manufacturing,70,8.4,SMB,0,4.4,7,3,1,1,0,3,5,26.2,43.4,0
ACC1420,Manufacturing,382,92.2,Mid-Market,0,9.2,6,4,2,0,0,3,0,44.8,48.8,0
ACC1421,Manufacturing,229,30.2,Mid-Market,0,3.8,12,4,3,2,0,3,16,25.6,65.0,0
ACC1422,Technology,255,27.7,Mid-Market,0,10.0,14,4,1,0,0,0,1,68.4,47.4,0
ACC1423,Financial Services,91,14.4,SMB,0,6.4,10,1,0,1,0,3,1,55.0,33.8,0
ACC1424,Technology,181,23.9,Mid-Market,0,5.7,6,3,1,0,0,3,0,53.5,39.0,1
ACC1425,Healthcare,73,6.3,SMB,0,6.5,17,1,0,0,0,1,2,33.2,32.9,0
ACC1426,Financial Services,778,105.0,Mid-Market,0,10.0,8,1,2,1,0,1,1,73.0,32.8,0
ACC1427,Retail,939,162.0,Mid-Market,1,3.5,8,1,0,1,1,1,4,19.9,38.4,1
ACC1428,Financial Services,22,3.8,SMB,0,3.3,2,2,0,2,0,1,10,44.2,23.4,0
ACC1429,Technology,73,10.3,SMB,0,4.0,12,3,0,0,0,4,0,47.0,46.8,0
ACC1430,Technology,34,5.3,SMB,0,5.6,3,5,0,1,1,1,19,51.9,48.7,1
ACC1431,Manufacturing,105,25.6,Mid-Market,0,2.0,4,2,1,1,0,3,3,18.6,34.0,0
ACC1432,Healthcare,219,31.6,Mid-Market,0,5.5,4,2,3,1,0,2,9,31.1,36.5,1
ACC1433,Technology,37,4.6,SMB,0,8.9,7,2,2,1,0,1,0,62.8,37.6,1
ACC1434,Technology,73,8.9,SMB,0,5.8,6,1,1,2,0,3,4,52.9,35.5,0
ACC1435,Manufacturing,66,10.4,SMB,0,4.9,10,2,1,2,1,2,0,27.8,60.5,0
ACC1436,Technology,320,66.9,Mid-Market,0,4.3,4,3,2,1,0,3,1,50.1,44.5,1
ACC1437,Retail,267,30.7,Mid-Market,0,7.3,8,1,1,2,0,3,5,37.5,38.0,0
ACC1438,Manufacturing,95,19.1,SMB,0,3.8,6,1,3,0,1,6,7,24.4,55.8,0
ACC1439,Technology,307,25.7,Mid-Market,0,9.2,7,3,2,0,0,2,1,66.2,41.1,0
ACC1440,Technology,120,18.1,Mid-Market,0,9.4,11,3,1,2,0,2,13,65.2,48.1,0
ACC1441,Education,171,36.2,Mid-Market,0,6.0,13,4,1,0,1,3,2,32.4,69.0,1
ACC1442,Financial Services,2154,296.4,Enterprise,0,5.5,2,1,2,1,0,2,1,70.3,26.9,1
ACC1443,Financial Services,1397,245.6,Enterprise,0,7.6,14,2,1,1,0,0,4,70.5,39.4,1
ACC1444,Retail,45,5.2,SMB,0,7.7,10,2,4,1,0,3,8,36.9,52.5,0
ACC1445,Education,719,148.2,Mid-Market,0,3.9,6,2,2,2,0,1,45,30.3,23.4,0
ACC1446,Education,702,62.4,Mid-Market,0,4.4,9,2,4,1,0,0,5,31.8,43.4,0
ACC1447,Manufacturing,54,12.1,SMB,0,2.9,4,2,0,0,0,2,5,21.1,21.5,0
ACC1448,Financial Services,709,80.6,Mid-Market,0,6.3,7,2,1,1,0,1,0,60.2,33.7,0
ACC1449,Technology,1806,412.9,Enterprise,1,6.8,14,1,0,1,0,1,14,60.5,28.7,0
ACC1450,Manufacturing,56,7.8,SMB,0,2.8,4,1,4,0,0,3,2,20.8,35.3,0
ACC1451,Healthcare,74,15.0,SMB,0,4.6,6,2,1,0,0,3,13,26.9,28.1,0
ACC1452,Financial Services,918,123.3,Mid-Market,0,2.8,11,3,1,2,0,1,24,50.4,40.9,0
ACC1453,Retail,348,81.4,Mid-Market,0,3.7,10,3,1,1,0,3,14,26.3,44.3,0
ACC1454,Technology,501,50.9,Mid-Market,0,6.6,13,1,0,1,0,1,10,59.3,28.8,1
ACC1455,Financial Services,380,41.9,Mid-Market,0,4.0,1,1,2,0,0,1,9,49.7,14.5,0
ACC1456,Technology,406,66.5,Mid-Market,0,4.9,5,2,0,1,0,1,6,52.9,24.5,0
ACC1457,Financial Services,43,4.0,SMB,1,2.2,5,2,1,1,0,2,1,29.7,33.3,0
ACC1458,Technology,954,108.1,Mid-Market,0,5.9,11,2,1,1,0,0,15,61.0,30.7,1
ACC1459,Technology,1119,269.1,Enterprise,0,5.4,7,3,3,0,0,4,6,60.8,48.9,0
ACC1460,Technology,181,44.5,Mid-Market,0,4.0,5,3,0,1,1,3,9,47.9,49.7,1
ACC1461,Healthcare,231,33.3,Mid-Market,0,5.1,9,3,4,1,0,4,4,29.9,61.4,1
ACC1462,Manufacturing,33,7.8,SMB,0,5.9,6,5,3,1,1,4,2,30.8,80.2,1
ACC1463,Healthcare,477,82.3,Mid-Market,1,3.9,5,1,3,1,1,1,16,17.1,41.1,1
ACC1464,Education,514,64.7,Mid-Market,1,2.5,5,1,2,1,0,1,4,12.8,27.2,0
ACC1465,Financial Services,225,44.9,Mid-Market,0,9.1,5,1,0,1,0,2,20,65.2,16.1,0
ACC1466,Technology,1055,202.6,Enterprise,0,4.2,7,2,0,2,1,2,33,56.3,39.3,0
ACC1467,Retail,158,39.2,Mid-Market,0,5.3,11,1,4,1,1,3,17,29.9,59.2,1
ACC1468,Technology,509,63.7,Mid-Market,0,7.5,11,1,2,1,0,1,1,62.4,37.2,0
ACC1469,Education,65,12.6,SMB,0,10.0,11,2,1,0,0,6,19,44.7,41.9,0
ACC1470,Technology,237,21.1,Mid-Market,0,3.0,6,2,0,0,0,0,7,45.1,17.8,0
ACC1471,Education,195,19.4,Mid-Market,0,6.4,14,2,2,1,0,1,2,33.9,47.0,0
ACC1472,Technology,327,26.4,Mid-Market,0,4.1,5,1,1,0,0,2,0,49.5,22.9,0
ACC1473,Retail,151,37.7,Mid-Market,0,4.4,5,3,0,1,0,0,3,26.9,28.6,0
ACC1474,Healthcare,206,44.6,Mid-Market,0,4.1,7,1,0,0,0,2,1,26.4,21.6,0
ACC1475,Education,716,153.0,Mid-Market,0,3.2,15,2,8,3,0,0,0,27.9,79.5,0
ACC1476,Technology,138,23.0,Mid-Market,0,5.4,7,1,1,0,0,3,44,52.2,11.6,0
ACC1477,Healthcare,30,3.9,SMB,0,2.6,14,3,3,1,0,2,17,19.9,53.9,0
ACC1478,Education,2379,251.5,Enterprise,0,7.4,4,3,0,0,0,4,13,56.5,30.0,1
ACC1479,Healthcare,1474,189.3,Enterprise,0,5.6,1,3,2,0,0,2,2,42.5,31.9,0
ACC1480,Healthcare,45,6.5,SMB,1,6.3,10,1,2,1,0,1,0,21.2,36.1,0
ACC1481,Manufacturing,599,124.9,Mid-Market,0,4.6,3,3,1,1,0,2,6,31.5,34.2,0
ACC1482,Financial Services,127,21.8,Mid-Market,0,4.8,5,5,5,1,0,0,13,50.1,55.9,1
ACC1483,Healthcare,344,32.1,Mid-Market,0,6.1,9,2,3,0,0,1,32,34.2,27.0,0
ACC1484,Healthcare,358,29.7,Mid-Market,1,3.2,7,1,1,2,0,1,18,13.7,25.7,0
ACC1485,Retail,180,17.5,Mid-Market,0,4.8,6,3,1,0,0,0,22,28.5,21.7,0
ACC1486,Technology,88,13.2,SMB,0,3.8,6,2,1,1,0,1,2,46.4,31.4,0
ACC1487,Technology,99,23.6,SMB,0,3.7,8,2,1,3,1,2,1,46.2,62.0,0
ACC1488,Education,74,13.9,SMB,0,1.3,10,2,5,0,0,1,2,16.0,48.0,0
ACC1489,Retail,82,17.7,SMB,0,8.2,8,2,1,1,0,3,1,38.9,40.6,0
ACC1490,Financial Services,224,35.7,Mid-Market,0,4.1,9,3,1,0,0,2,16,48.6,34.2,1
ACC1491,Healthcare,96,13.6,SMB,1,7.8,13,0,3,0,0,2,23,26.6,27.6,0
ACC1492,Technology,593,58.4,Mid-Market,1,7.6,13,0,2,0,0,3,3,52.4,34.4,0
ACC1493,Technology,1691,387.1,Enterprise,0,2.9,5,1,4,0,1,4,20,57.6,47.3,0
ACC1494,Financial Services,115,24.5,Mid-Market,0,3.3,7,1,4,0,0,3,0,45.0,40.5,0
ACC1495,Financial Services,334,36.3,Mid-Market,0,10.0,13,1,2,3,0,0,11,69.1,43.0,0
ACC1496,Healthcare,468,78.2,Mid-Market,0,9.0,10,2,3,2,0,1,7,44.9,48.0,0
ACC1497,Technology,451,73.4,Mid-Market,0,5.4,2,2,0,1,0,0,3,54.9,18.3,0
ACC1498,Education,270,50.3,Mid-Market,1,6.0,13,3,1,0,0,2,14,22.2,40.9,0
ACC1499,Education,642,154.6,Mid-Market,0,4.2,1,1,1,0,0,3,2,30.6,19.2,0
ACC1500,Manufacturing,458,81.8,Mid-Market,0,6.4,8,1,0,0,0,0,5,36.2,15.6,0
ACC1501,Healthcare,48,8.2,SMB,1,4.1,8,1,1,0,0,2,12,14.0,22.6,0
ACC1502,Financial Services,757,67.0,Mid-Market,0,1.4,2,2,0,1,0,0,4,44.4,18.0,0
ACC1503,Retail,775,70.3,Mid-Market,0,2.9,9,2,0,1,0,2,19,27.5,28.2,0
ACC1504,Manufacturing,90,10.1,SMB,0,5.5,6,1,3,1,1,2,20,30.0,43.9,1
ACC1505,Technology,257,22.0,Mid-Market,0,3.2,7,2,1,0,0,6,2,45.9,42.6,0
ACC1506,Retail,594,122.6,Mid-Market,0,5.4,7,4,2,2,0,2,5,34.1,55.1,0
ACC1507,Retail,186,37.8,Mid-Market,0,3.4,9,2,1,0,0,2,5,23.9,32.7,0
ACC1508,Education,987,101.8,Mid-Market,0,3.9,11,3,5,2,0,2,5,32.6,66.8,1
ACC1509,Manufacturing,5287,1174.4,Enterprise,1,7.2,12,1,1,1,0,0,6,67.9,29.9,0
ACC1510,Healthcare,88,9.4,SMB,1,6.0,7,1,1,2,1,2,0,20.6,50.2,0
ACC1511,Financial Services,40,5.2,SMB,0,5.5,3,1,1,1,0,3,20,51.6,20.0,0
ACC1512,Education,363,44.4,Mid-Market,0,7.3,11,2,3,0,0,3,3,38.4,47.1,0
ACC1513,Retail,625,89.6,Mid-Market,0,6.5,5,4,2,0,0,1,0,38.0,41.5,0
ACC1514,Technology,181,22.3,Mid-Market,0,8.4,13,3,1,1,0,0,11,62.5,41.1,0
ACC1515,Technology,1618,263.9,Enterprise,0,4.6,8,1,1,0,0,2,10,62.6,23.4,0
ACC1516,Financial Services,42,6.3,SMB,1,4.6,3,4,3,1,1,4,40,37.6,55.1,1
